Group,KCl,Time
Syt-1,56,12.5
Syt-1,56,12.5
Syt-1,56,12.83333
Syt-1,56,12.83333
Syt-1,56,12.83333
Syt-1,56,12.83333
Syt-1,56,12.83333
Syt-1,56,12.83333
Syt-1,56,12.83333
Syt-1,56,12.83333
Syt-1,56,13
Syt-1,56,13
Syt-1,56,13
Syt-1,56,13
Syt-1,56,13.16667
Syt-1,56,13.16667
Syt-1,56,13.16667
Syt-1,56,13.5
Syt-1,56,13.5
Syt-1,56,13.5
Syt-1,56,13.5
Syt-1,56,13.66667
Syt-1,56,13.66667
Syt-1,56,13.66667
Syt-1,56,13.66667
Syt-1,56,13.83333
Syt-1,56,14
Syt-1,56,14.33333
Syt-1,56,14.33333
Syt-1,56,14.5
Syt-1,56,14.5
Syt-1,56,14.5
Syt-1,56,14.66667
Syt-1,56,14.66667
Syt-1,56,14.66667
Syt-1,56,15.16667
Syt-1,56,15.33333
Syt-1,56,15.66667
Syt-1,56,15.83333
Syt-1,56,15.83333
Syt-1,56,15.83333
Syt-1,56,16.16667
Syt-1,56,16.5
Syt-1,56,16.5
Syt-1,56,16.5
Syt-1,56,16.5
Syt-1,56,16.5
Syt-1,56,16.5
Syt-1,56,16.83333
Syt-1,56,16.83333
Syt-1,56,16.83333
Syt-1,56,16.83333
Syt-1,56,16.83333
Syt-1,56,17
Syt-1,56,17
Syt-1,56,17
Syt-1,56,17
Syt-1,56,17.33333
Syt-1,56,17.5
Syt-1,56,17.83333
Syt-1,56,18.16667
Syt-1,56,18.16667
Syt-1,56,18.16667
Syt-1,56,18.66667
Syt-1,56,18.66667
Syt-1,56,19.5
Syt-1,56,19.66667
Syt-1,56,19.66667
Syt-1,56,19.83333
Syt-1,56,19.83333
Syt-1,56,20
Syt-1,56,21.33333
Syt-1,56,21.5
Syt-1,56,21.5
Syt-1,56,21.5
Syt-1,56,23.16667
Syt-7,10,12.66666667
Syt-7,10,21.5
Syt-7,10,27
Syt-7,10,30.83333333
Syt-7,10,34.5
Syt-7,10,12.33333333
Syt-7,10,14.66666667
Syt-7,10,21.33333333
Syt-7,10,25.33333333
Syt-7,10,23.5
Syt-7,10,29
Syt-7,10,32.5
Syt-7,10,34.5
Syt-7,10,13
Syt-7,10,13.5
Syt-7,10,15
Syt-7,10,13.16666667
Syt-7,10,19.5
Syt-7,10,9.5
Syt-7,10,20
Syt-7,10,21
Syt-7,10,17.5
Syt-7,10,14
Syt-7,10,15.5
Syt-7,10,12.16666667
Syt-7,10,11.5
Syt-7,10,12.83333333
Syt-7,10,20.33333333
Syt-7,10,13.33333333
Syt-7,10,15
Syt-7,10,18.66666667
Syt-7,10,19.16666667
Syt-7,10,21.66666667
Syt-7,10,22
Syt-7,10,10
Syt-7,25,0.333333
Syt-7,25,0.666667
Syt-7,25,0.666667
Syt-7,25,0.833333
Syt-7,25,1
Syt-7,25,1
