Group,Conc,Latency
Syt-1,10,57
Syt-1,10,25.16
Syt-1,10,25.16
Syt-1,10,25.33
Syt-1,10,25.33
Syt-1,10,25.5
Syt-1,10,25.5
Syt-1,10,25.66
Syt-1,10,25.66
Syt-1,10,25.83
Syt-1,10,25.83
Syt-1,10,26
Syt-1,10,26
Syt-1,10,26
Syt-1,10,26
Syt-1,10,26
Syt-1,10,26.16
Syt-1,10,26.16
Syt-1,10,26.16
Syt-1,10,26.33
Syt-1,10,26.33
Syt-1,10,26.33
Syt-1,10,26.33
Syt-1,10,27.66
Syt-1,10,27.83
Syt-1,10,28.16
Syt-1,10,30
Syt-1,10,30.5
Syt-1,10,31.16
Syt-1,10,31.66
Syt-1,10,31.66
Syt-1,10,32
Syt-1,10,32.16
Syt-1,10,33.66
Syt-1,10,33.66
Syt-1,10,33.83
Syt-1,10,34
Syt-1,10,34
Syt-1,10,34.5
Syt-1,10,36
Syt-1,10,37
Syt-1,10,37.66
Syt-1,10,38.5
Syt-1,10,38.5
Syt-1,10,39.33
Syt-1,10,39.33
Syt-1,10,39.83
Syt-1,10,40.33
Syt-1,10,42
Syt-1,10,46
Syt-1,10,52
Syt-1,10,52.5
Syt-1,10,57
Syt-1,10,22.66
Syt-1,10,22.83
Syt-1,10,22.83
Syt-1,10,23.16
Syt-1,10,23.16
Syt-1,10,23.16
Syt-1,10,23.16
Syt-1,10,23.5
Syt-1,10,23.5
Syt-1,10,23.5
Syt-1,10,23.66
Syt-1,10,24
Syt-1,10,24.5
Syt-1,10,25.16
Syt-1,10,25.5
Syt-1,10,26.33
Syt-1,10,27
Syt-1,10,27
Syt-1,10,27.83
Syt-1,10,28.5
Syt-1,10,31.66
Syt-1,10,14.83
Syt-1,10,21.33
Syt-1,10,21.33
Syt-1,10,23
Syt-1,10,23
Syt-1,10,23
Syt-1,10,23.16
Syt-1,10,23.16
Syt-1,10,23.16
Syt-1,10,23.16
Syt-1,10,23.5
Syt-1,10,23.5
Syt-1,10,24
Syt-1,10,24
Syt-1,10,24.5
Syt-1,10,24.5
Syt-1,10,25.33
Syt-1,10,25.33
Syt-1,10,25.33
Syt-1,10,25.66
Syt-1,10,25.66
Syt-1,10,26.16
Syt-1,10,26.16
Syt-1,10,26.16
Syt-1,10,26.5
Syt-1,10,27
Syt-1,10,28
Syt-1,10,29.66
Syt-1,10,30.83
Syt-1,10,31.5
Syt-1,10,32.5
Syt-1,10,37.83
Syt-1,10,40.16
Syt-1,30,17.5
Syt-1,30,17.5
Syt-1,30,17.5
Syt-1,30,17.83333
Syt-1,30,17.83333
Syt-1,30,17.83333
Syt-1,30,18
Syt-1,30,18
Syt-1,30,18
Syt-1,30,18.16667
Syt-1,30,18.16667
Syt-1,30,18.16667
Syt-1,30,18.16667
Syt-1,30,18.33333
Syt-1,30,18.33333
Syt-1,30,18.33333
Syt-1,30,18.33333
Syt-1,30,18.33333
Syt-1,30,18.5
Syt-1,30,18.5
Syt-1,30,18.5
Syt-1,30,18.5
Syt-1,30,18.5
Syt-1,30,18.5
Syt-1,30,18.66667
Syt-1,30,18.66667
Syt-1,30,18.66667
Syt-1,30,18.66667
Syt-1,30,18.83333
Syt-1,30,18.83333
Syt-1,30,18.83333
Syt-1,30,19
Syt-1,30,19
Syt-1,30,19
Syt-1,30,19
Syt-1,30,19.16667
Syt-1,30,19.16667
Syt-1,30,19.16667
Syt-1,30,19.5
Syt-1,30,19.5
Syt-1,30,20
Syt-1,30,20
Syt-1,30,20
Syt-1,30,20.33333
Syt-1,30,20.33333
Syt-1,30,20.33333
Syt-1,30,20.33333
Syt-1,30,20.66667
Syt-1,30,20.66667
Syt-1,30,20.66667
Syt-1,30,20.83333
Syt-1,30,20.83333
Syt-1,30,21
Syt-1,30,21
Syt-1,30,21
Syt-1,30,21
Syt-1,30,21.16667
Syt-1,30,21.33333
Syt-1,30,21.33333
Syt-1,30,21.66667
Syt-1,30,21.66667
Syt-1,30,21.83333
Syt-1,30,21.83333
Syt-1,30,22.16667
Syt-1,30,22.5
Syt-1,30,22.83333
Syt-1,30,22.83333
Syt-1,30,22.83333
Syt-1,30,22.83333
Syt-1,30,23.33333
Syt-1,30,23.5
Syt-1,30,23.5
Syt-1,30,23.83333
Syt-1,30,23.83333
Syt-1,30,24.16667
Syt-1,30,24.66667
Syt-1,30,24.66667
Syt-1,30,24.66667
Syt-1,30,25.83333
Syt-1,30,26.16667
Syt-1,30,26.5
Syt-1,30,27.33333
Syt-1,30,28
Syt-1,30,40.66667
Syt-1,30,44.66667
Syt-1,30,17
Syt-1,30,17.16667
Syt-1,30,17.16667
Syt-1,30,17.16667
Syt-1,30,17.16667
Syt-1,30,17.16667
Syt-1,30,17.16667
Syt-1,30,17.16667
Syt-1,30,17.16667
Syt-1,30,17.33333
Syt-1,30,17.33333
Syt-1,30,17.33333
Syt-1,30,17.33333
Syt-1,30,17.33333
Syt-1,30,17.33333
Syt-1,30,17.5
Syt-1,30,17.5
Syt-1,30,17.5
Syt-1,30,17.5
Syt-1,30,17.5
Syt-1,30,17.5
Syt-1,30,17.5
Syt-1,30,17.66667
Syt-1,30,17.66667
Syt-1,30,17.66667
Syt-1,30,17.66667
Syt-1,30,17.66667
Syt-1,30,17.66667
Syt-1,30,17.83333
Syt-1,30,17.83333
Syt-1,30,17.83333
Syt-1,30,17.83333
Syt-1,30,17.83333
Syt-1,30,17.83333
Syt-1,30,17.83333
Syt-1,30,18
Syt-1,30,18
Syt-1,30,18
Syt-1,30,18
Syt-1,30,18
Syt-1,30,18
Syt-1,30,18.16667
Syt-1,30,18.16667
Syt-1,30,18.16667
Syt-1,30,18.16667
Syt-1,30,18.33333
Syt-1,30,18.33333
Syt-1,30,18.33333
Syt-1,30,18.33333
Syt-1,30,18.5
Syt-1,30,18.5
Syt-1,30,18.5
Syt-1,30,18.66667
Syt-1,30,18.66667
Syt-1,30,18.83333
Syt-1,30,18.83333
Syt-1,30,18.83333
Syt-1,30,19
Syt-1,30,19
Syt-1,30,19.16667
Syt-1,30,19.16667
Syt-1,30,20.83333
Syt-1,30,21
Syt-1,30,21
Syt-1,30,21.66667
Syt-1,30,21.66667
Syt-1,30,22
Syt-1,30,22.83333
Syt-1,30,22.83333
Syt-1,30,23.33333
Syt-1,30,24.16667
Syt-1,30,24.16667
Syt-1,30,24.66667
Syt-1,30,24.66667
Syt-1,30,25.33333
Syt-1,30,25.33333
Syt-1,30,26.16667
Syt-1,30,26.16667
Syt-1,30,26.5
Syt-1,30,26.83333
Syt-1,30,26.83333
Syt-1,30,27.5
Syt-1,30,28.83333
Syt-1,30,31.33333
Syt-1,30,31.5
Syt-1,30,32
Syt-1,30,43.16667
Syt-1,30,12.83333
Syt-1,30,12.83333
Syt-1,30,12.83333
Syt-1,30,12.83333
Syt-1,30,12.83333
Syt-1,30,13.16667
Syt-1,30,13.16667
Syt-1,30,13.16667
Syt-1,30,13.16667
Syt-1,30,13.16667
Syt-1,30,13.33333
Syt-1,30,13.33333
Syt-1,30,13.33333
Syt-1,30,13.5
Syt-1,30,13.5
Syt-1,30,13.5
Syt-1,30,13.5
Syt-1,30,13.66667
Syt-1,30,13.66667
Syt-1,30,13.66667
Syt-1,30,13.66667
Syt-1,30,13.83333
Syt-1,30,13.83333
Syt-1,30,13.83333
Syt-1,30,13.83333
Syt-1,30,13.83333
